20895,"60 SLEEPY HOLLOW CIR #9, New Haven, CT, ",Match,Exact,"60 SLEEPY HOLLOW CIR, NEW HAVEN, CT, 06512","-72.877365,41.301105",3758790,R,9,9,180400,1012
20896,"70 SLEEPY HOLLOW CIR #10, New Haven, CT, ",No_Match,,,,,,,,,
20894,"52 SLEEPY HOLLOW CIR #8, New Haven, CT, ",Match,Exact,"52 SLEEPY HOLLOW CIR, NEW HAVEN, CT, 06512","-72.87726,41.301285",3758790,R,9,9,180400,1012
20893,"44 SLEEPY HOLLOW CIR #7, New Haven, CT, ",Match,Exact,"44 SLEEPY HOLLOW CIR, NEW HAVEN, CT, 06512","-72.87715,41.301468",3758790,R,9,9,180400,1012
20892,"38 SLEEPY HOLLOW CIR #6, New Haven, CT, ",Match,Exact,"38 SLEEPY HOLLOW CIR, NEW HAVEN, CT, 06512","-72.877075,41.301605",3758790,R,9,9,180400,1012
20891,"79 HIGHVIEW LA, New Haven, CT, ",Match,Exact,"79 HIGHVIEW LN, NEW HAVEN, CT, 06513","-72.878075,41.302628",3704405,L,9,9,142604,1003
20890,"83 HIGHVIEW LA, New Haven, CT, ",Match,Exact,"83 HIGHVIEW LN, NEW HAVEN, CT, 06513","-72.878075,41.30261",3704405,L,9,9,142604,1003
20899,"136 HUNTINGTON RD, New Haven, CT, ",Match,Exact,"136 HUNTINGTON RD, NEW HAVEN, CT, 06512","-72.89002,41.279205",3704263,R,9,9,142800,1005
20898,"84 SLEEPY HOLLOW CIR #12, New Haven, CT, ",No_Match,,,,,,,,,
20897,"76 SLEEPY HOLLOW CIR #11, New Haven, CT, ",No_Match,,,,,,,,,
20874,"181 RUSSELL ST, New Haven, CT, ",Tie,,,,,,,,,
20873,"175 RUSSELL ST, New Haven, CT, ",Tie,,,,,,,,,
20872,"171 RUSSELL ST, New Haven, CT, ",Tie,,,,,,,,,
20871,"RUSSELL ST, New Haven, CT, ",No_Match,,,,,,,,,
20870,"149 RUSSELL ST, New Haven, CT, ",Tie,,,,,,,,,
20879,"223 RUSSELL ST, New Haven, CT, ",Match,Exact,"223 RUSSELL ST, NEW HAVEN, CT, 06513","-72.881004,41.299583",604739362,R,9,9,142604,1018
20878,"RUSSELL ST, New Haven, CT, ",No_Match,,,,,,,,,
20877,"120 HUNTINGTON RD, New Haven, CT, ",Match,Exact,"120 HUNTINGTON RD, NEW HAVEN, CT, 06512","-72.89002,41.279438",3704263,R,9,9,142800,1005
20876,"203 RUSSELL ST, New Haven, CT, ",Match,Exact,"203 RUSSELL ST, NEW HAVEN, CT, 06513","-72.88188,41.298782",604739362,R,9,9,142604,1018
20875,"201 RUSSELL ST, New Haven, CT, ",Match,Exact,"201 RUSSELL ST, NEW HAVEN, CT, 06513","-72.88274,41.298317",604739368,R,9,9,142604,1014
20885,"269 RUSSELL ST, New Haven, CT, ",Match,Exact,"269 RUSSELL ST, NEW HAVEN, CT, 06513","-72.88012,41.30185",604739362,R,9,9,142604,1018
20884,"RUSSELL ST, New Haven, CT, ",No_Match,,,,,,,,,
20883,"257 RUSSELL ST, New Haven, CT, ",Match,Exact,"257 RUSSELL ST, NEW HAVEN, CT, 06513","-72.88024,41.301235",604739362,R,9,9,142604,1018
20882,"245 RUSSELL ST, New Haven, CT, ",Match,Exact,"245 RUSSELL ST, NEW HAVEN, CT, 06513","-72.880394,41.30062",604739362,R,9,9,142604,1018
20881,"235 RUSSELL ST, New Haven, CT, ",Match,Exact,"235 RUSSELL ST, NEW HAVEN, CT, 06513","-72.8806,41.300125",604739362,R,9,9,142604,1018
20880,"231 RUSSELL ST, New Haven, CT, ",Match,Exact,"231 RUSSELL ST, NEW HAVEN, CT, 06513","-72.88071,41.299934",604739362,R,9,9,142604,1014
20889,"89 HIGHVIEW LA, New Haven, CT, ",Match,Exact,"89 HIGHVIEW LN, NEW HAVEN, CT, 06513","-72.878075,41.302578",3704405,L,9,9,142604,1003
20888,"128 HUNTINGTON RD, New Haven, CT, ",Match,Exact,"128 HUNTINGTON RD, NEW HAVEN, CT, 06512","-72.89002,41.279324",3704263,R,9,9,142800,1005
20887,"275 RUSSELL ST, New Haven, CT, ",Match,Exact,"275 RUSSELL ST, NEW HAVEN, CT, 06513","-72.88006,41.30216",604739362,R,9,9,142604,1018
20886,"273 RUSSELL ST, New Haven, CT, ",Match,Exact,"273 RUSSELL ST, NEW HAVEN, CT, 06513","-72.88007,41.302055",604739362,R,9,9,142604,1018
24418,"440 FRONT ST, New Haven, CT, ",Match,Exact,"440 FRONT ST, NEW HAVEN, CT, 06513","-72.88978,41.319897",3703070,L,9,9,142500,2002
25749,"298 POPLAR ST #298, New Haven, CT, ",Match,Exact,"298 POPLAR ST, NEW HAVEN, CT, 06513","-72.89732,41.30991",3703691,L,9,9,142400,3013
24417,"87 BURR ST, New Haven, CT, ",No_Match,,,,,,,,,
25748,"308 POPLAR ST, New Haven, CT, ",Match,Exact,"308 POPLAR ST, NEW HAVEN, CT, 06513","-72.89738,41.310135",3703691,L,9,9,142400,3013
